GP_FINAL_C,GP_FINAL,BLOCK_CODE,DISTRICT_C
811901010,Ankauriya,811901,119
811901020,Arain,811901,119
811901030,Barol,811901,119
811901040,Bhagwantpura,811901,119
811901050,Bhambholao,811901,119
811901060,Bhogadeet,811901,119
811901070,Borada,811901,119
811901080,Dabrela,811901,119
811901090,Dadiya,811901,119
811901100,Deopuri,811901,119
811901110,Dhasook,811901,119
811901120,Gothiyana,811901,119
811901130,Jheerota,811901,119
811901140,Kalanada,811901,119
811901150,Kasheer,811901,119
811901160,Katsoora,811901,119
811901170,Lamba,811901,119
811901180,Mandawariya,811901,119
811901190,Manoharpura,811901,119
811901200,Sandoliya,811901,119
811901210,Sinroj,811901,119
811902010,Bandanwara,811902,119
811902020,Bargaon (Surkhand),811902,119
811902030,Barli,811902,119
811902040,Bhinay,811902,119
811902050,Boobkiya,811902,119
811902060,Chapaneri,811902,119
811902070,Chhachhundra,811902,119
811902080,Deoliya Kalan,811902,119
811902090,Dhantol,811902,119
811902100,Ekalseenga,811902,119
811902110,Gurha Khurd,811902,119
811902120,Kanai Kalan,811902,119
811902130,Karati,811902,119
811902140,Kerot,811902,119
811902150,Kumhariya,811902,119
811902160,Lamgara,811902,119
811902170,Nagola,811902,119
811902180,Nandsi,811902,119
811902190,Padaliya (Bhinay),811902,119
811902200,Padanga,811902,119
811902210,Ratakot,811902,119
811902220,Reechhmal @ Rammaliya,811902,119
811902230,Singhawal,811902,119
811902240,Sobri,811902,119
81190347,Municipal - Beawar (M Cl),811903,119
81190348,Municipal - Chhavani Pared,811903,119
81190349,Municipal - Dolatgarh Singha,811903,119
81190350,Municipal - Narsinghpura,811903,119
81190351,Municipal - Sedariya,811903,119
81190352,Municipal - Shahapura Bicharli,811903,119
811903010,Asan(Khera Kalan),811903,119
811903020,Ateetmand,811903,119
811903030,Balar,811903,119
811903040,Bamanhera,811903,119
811903050,Banjari,811903,119
811903060,Bar Kochara,811903,119
811903070,Barakhan,811903,119
811903080,Beawar Khas,811903,119
811903090,Delwara,811903,119
811903100,Dewata,811903,119
811903110,Durgawas,811903,119
811903120,Gohana,811903,119
811903130,Jaliya-I,811903,119
811903140,Jawaja,811903,119
811903150,Kabra,811903,119
811903160,Khera Kalan,811903,119
811903170,Kishanpura,811903,119
811903180,Kotra,811903,119
811903190,Lotiyana,811903,119
811903200,Malaton Ki Ber,811903,119
