id,location_list,image1_block_planation,number_of_plants,planta_name_text,status,created_at,updated_at,plantation_type_id,submitted_by_id,location_lat,location_long,goverment_departmet_id,land_ownership_id,plantationArea,block_code_id,dict_code_id,gp_code_id
47780,"29.187120,74.764641,29.187101,74.764663,29.187085,74.764665,29.187167,74.764671",images/blockplantation/6f394fba-5f68-4b2b-b9d8-6e74398ca844.jpg,200,Bael: 200,FALSE,2024-08-31 06:08:54.693523+05:30,2024-08-31 06:08:54.693548+05:30,2,75914,29.187144,74.7646267,2,4,1,810003,100,810003070
47781,"27.587336,77.150620,27.587336,77.150619,27.587335,77.150618,27.587335,77.150618,27.587335,77.150618",images/blockplantation/ea2a2b8e-9226-4f8c-b136-911863b74a52.jpg,250,"Karanj: 100, Lemon: 50, Moringa: 100",FALSE,2024-08-31 07:09:07.239413+05:30,2024-08-31 07:09:07.23944+05:30,1,75793,27.5874246,77.150618,2,7,2.2,810507,105,810507130
47782,"27.587372,77.150607,27.587372,77.150607,27.587372,77.150607,27.587372,77.150607",images/blockplantation/b17e308f-67f3-468f-8ac4-c3ccf12345c9.jpg,200,"Karanj: 150, Kikar: 20, Lemon: 30",FALSE,2024-08-31 07:11:39.829158+05:30,2024-08-31 07:11:39.829183+05:30,2,75793,27.5874235,77.1506232,2,7,1.1,810507,105,810507130
47783,"27.587329,77.150577,27.587332,77.150597,27.587329,77.150603,27.587328,77.150608",images/blockplantation/52172e86-21e8-4928-847c-2c6e9568000d.jpg,100,"Ardu: 50, Bahera: 50",FALSE,2024-08-31 07:15:21.121652+05:30,2024-08-31 07:15:21.121671+05:30,2,75793,27.5873334,77.1505734,2,7,0.42,810507,105,810507130
47784,"25.557337,74.925538,25.557372,74.925480,25.557371,74.925478,25.557368,74.925477",images/blockplantation/5aafcbdd-0e63-4232-8e10-6d59a2d88578.jpg,160,"Karanj: 15, Seesam: 10, Neem: 15, Jamun: 10, Kachnar: 10, Ber: 10, Gular: 50, Harsingar: 5, Amaltas: 10, Amla: 2, Babool: 10, Bargad: 2, Imli: 3, JUNGLE JALEBI: 5, Mango: 3",FALSE,2024-08-31 07:52:15.690448+05:30,2024-08-31 07:52:15.690468+05:30,2,74741,25.55737,74.9255632,2,7,0.11,0,0,0
47785,"29.215962,74.640922,29.215951,74.640842,29.215978,74.640688,29.215989,74.640532",images/blockplantation/eab5109d-886c-4af2-b314-7c4a59ad2be3.jpg,300,Neem: 300,FALSE,2024-08-31 08:11:59.943492+05:30,2024-08-31 08:11:59.943511+05:30,2,75911,29.2159371,74.6409672,2,7,1,810003,100,810003240
47786,"29.215930,74.640735,29.216218,74.640454,29.216344,74.640463,29.216436,74.640437",images/blockplantation/0ccd1b98-8a16-49f9-8949-a7151b18763c.jpg,150,Seesam: 150,FALSE,2024-08-31 08:15:51.952961+05:30,2024-08-31 08:15:51.952981+05:30,2,75911,29.2159577,74.6407011,2,7,1,810003,100,810003240
47787,"29.178623,74.749725,29.178669,74.749682,29.178751,74.749665,29.178821,74.749623,29.178947,74.749994",images/blockplantation/596e0e87-35a9-415f-8b18-be984796d036.jpg,473,Seesam: 473,FALSE,2024-08-31 08:25:17.67763+05:30,2024-08-31 08:25:17.677649+05:30,1,75587,29.1784924,74.7498346,2,12,1.2,810003,100,810003999
47788,"29.216338,74.640453,29.216428,74.640415,29.216529,74.640446,29.216530,74.640552",images/blockplantation/d458e1d7-bbbf-43e9-b679-d89d095d0651.jpg,100,Siris: 100,FALSE,2024-08-31 08:25:54.610676+05:30,2024-08-31 08:25:54.610696+05:30,2,75911,29.216032,74.6403716,2,7,1,810003,100,810003240
47789,"29.216611,74.640326,29.216522,74.640289,29.216334,74.640277,29.216237,74.640281",images/blockplantation/26d26e23-ea40-4dac-8876-f8a9d2498023.jpg,120,Amrood: 120,FALSE,2024-08-31 08:34:35.983679+05:30,2024-08-31 08:34:35.983706+05:30,2,75911,29.2158948,74.6408728,2,12,1,810003,100,810003240
